connector_pk,transaction_pk,value_timestamp,value,reading_context,format,measurand,location,unit,phase
1730,,"2022-03-14 14:26:51.000000",19785,Sample.Periodic,,Energy.Active.Import.Register,,Wh,
1730,,"2022-03-14 14:26:51.000000","0",Sample.Periodic,,Power.Active.Import,,W,
1730,,"2022-03-14 14:26:51.000000","0",Sample.Periodic,,Current.Import,,A,
1730,,"2022-03-14 14:26:51.000000",230,Sample.Periodic,,Voltage,,V,
1730,,"2022-03-14 14:31:51.000000",19785,Sample.Periodic,,Energy.Active.Import.Register,,Wh,
1730,,"2022-03-14 14:31:51.000000","0",Sample.Periodic,,Power.Active.Import,,W,
1730,,"2022-03-14 14:31:51.000000","0",Sample.Periodic,,Current.Import,,A,
1730,,"2022-03-14 14:31:51.000000",231,Sample.Periodic,,Voltage,,V,
1730,,"2022-03-14 14:36:51.000000",19787,Sample.Periodic,,Energy.Active.Import.Register,,Wh,
1730,,"2022-03-14 14:36:51.000000","0",Sample.Periodic,,Power.Active.Import,,W,
1730,,"2022-03-14 14:36:51.000000","0",Sample.Periodic,,Current.Import,,A,
1730,,"2022-03-14 14:36:51.000000",232,Sample.Periodic,,Voltage,,V,
1730,,"2022-03-14 14:41:51.000000",19788,Sample.Periodic,,Energy.Active.Import.Register,,Wh,
1730,,"2022-03-14 14:41:51.000000","0",Sample.Periodic,,Power.Active.Import,,W,
1730,,"2022-03-14 14:41:51.000000","0",Sample.Periodic,,Current.Import,,A,
1730,,"2022-03-14 14:41:51.000000",234,Sample.Periodic,,Voltage,,V,
1730,,"2022-03-14 14:46:51.000000",19788,Sample.Periodic,,Energy.Active.Import.Register,,Wh,
1730,,"2022-03-14 14:46:51.000000","0",Sample.Periodic,,Power.Active.Import,,W,
1730,,"2022-03-14 14:46:51.000000","0",Sample.Periodic,,Current.Import,,A,
1730,,"2022-03-14 14:46:51.000000",232,Sample.Periodic,,Voltage,,V,
1730,,"2022-03-14 14:51:51.000000",19788,Sample.Periodic,,Energy.Active.Import.Register,,Wh,
1730,,"2022-03-14 14:51:51.000000","0",Sample.Periodic,,Power.Active.Import,,W,
1730,,"2022-03-14 14:51:51.000000","0",Sample.Periodic,,Current.Import,,A,
1730,,"2022-03-14 14:51:51.000000",233,Sample.Periodic,,Voltage,,V,
1730,,"2022-03-14 14:56:51.000000",19788,Sample.Periodic,,Energy.Active.Import.Register,,Wh,
1730,,"2022-03-14 14:56:51.000000","0",Sample.Periodic,,Power.Active.Import,,W,
1730,,"2022-03-14 14:56:51.000000","0",Sample.Periodic,,Current.Import,,A,
1730,,"2022-03-14 14:56:51.000000",233,Sample.Periodic,,Voltage,,V,
1730,,"2022-03-14 15:01:51.000000",19790,Sample.Periodic,,Energy.Active.Import.Register,,Wh,
1730,,"2022-03-14 15:01:51.000000","0",Sample.Periodic,,Power.Active.Import,,W,
1730,,"2022-03-14 15:01:51.000000","0",Sample.Periodic,,Current.Import,,A,
1730,,"2022-03-14 15:01:51.000000",233,Sample.Periodic,,Voltage,,V,
1730,,"2022-03-14 15:06:51.000000",19790,Sample.Periodic,,Energy.Active.Import.Register,,Wh,
1730,,"2022-03-14 15:06:51.000000","0",Sample.Periodic,,Power.Active.Import,,W,
1730,,"2022-03-14 15:06:51.000000","0",Sample.Periodic,,Current.Import,,A,
1730,,"2022-03-14 15:06:51.000000",234,Sample.Periodic,,Voltage,,V,
1730,,"2022-03-14 15:11:51.000000",19791,Sample.Periodic,,Energy.Active.Import.Register,,Wh,
1730,,"2022-03-14 15:11:51.000000","0",Sample.Periodic,,Power.Active.Import,,W,
1730,,"2022-03-14 15:11:51.000000","0",Sample.Periodic,,Current.Import,,A,
1730,,"2022-03-14 15:11:51.000000",236,Sample.Periodic,,Voltage,,V,
1730,,"2022-03-14 15:16:51.000000",19791,Sample.Periodic,,Energy.Active.Import.Register,,Wh,
1730,,"2022-03-14 15:16:51.000000","0",Sample.Periodic,,Power.Active.Import,,W,
1730,,"2022-03-14 15:16:51.000000","0",Sample.Periodic,,Current.Import,,A,
1730,,"2022-03-14 15:16:51.000000",234,Sample.Periodic,,Voltage,,V,
1730,,"2022-03-14 15:21:51.000000",19791,Sample.Periodic,,Energy.Active.Import.Register,,Wh,
1730,,"2022-03-14 15:21:51.000000","0",Sample.Periodic,,Power.Active.Import,,W,
1730,,"2022-03-14 15:21:51.000000","0",Sample.Periodic,,Current.Import,,A,
1730,,"2022-03-14 15:21:51.000000",237,Sample.Periodic,,Voltage,,V,
1730,,"2022-03-14 15:26:51.000000",19792,Sample.Periodic,,Energy.Active.Import.Register,,Wh,
1730,,"2022-03-14 15:26:51.000000","0",Sample.Periodic,,Power.Active.Import,,W,
1730,,"2022-03-14 15:26:51.000000","0",Sample.Periodic,,Current.Import,,A,
1730,,"2022-03-14 15:26:51.000000",236,Sample.Periodic,,Voltage,,V,
1730,,"2022-03-14 15:31:51.000000",19792,Sample.Periodic,,Energy.Active.Import.Register,,Wh,
1730,,"2022-03-14 15:31:51.000000","0",Sample.Periodic,,Power.Active.Import,,W,
1730,,"2022-03-14 15:31:51.000000","0",Sample.Periodic,,Current.Import,,A,
1730,,"2022-03-14 15:31:51.000000",238,Sample.Periodic,,Voltage,,V,
1730,,"2022-03-14 15:36:51.000000",19794,Sample.Periodic,,Energy.Active.Import.Register,,Wh,
1730,,"2022-03-14 15:36:51.000000","0",Sample.Periodic,,Power.Active.Import,,W,
1730,,"2022-03-14 15:36:51.000000","0",Sample.Periodic,,Current.Import,,A,
1730,,"2022-03-14 15:36:51.000000",237,Sample.Periodic,,Voltage,,V,
1730,,"2022-03-14 15:41:51.000000",19795,Sample.Periodic,,Energy.Active.Import.Register,,Wh,
1730,,"2022-03-14 15:41:51.000000","0",Sample.Periodic,,Power.Active.Import,,W,
1730,,"2022-03-14 15:41:51.000000","0",Sample.Periodic,,Current.Import,,A,
1730,,"2022-03-14 15:41:51.000000",236,Sample.Periodic,,Voltage,,V,
1730,,"2022-03-14 15:46:51.000000",19795,Sample.Periodic,,Energy.Active.Import.Register,,Wh,
1730,,"2022-03-14 15:46:51.000000","0",Sample.Periodic,,Power.Active.Import,,W,
1730,,"2022-03-14 15:46:51.000000","0",Sample.Periodic,,Current.Import,,A,
1730,,"2022-03-14 15:46:51.000000",237,Sample.Periodic,,Voltage,,V,
1730,,"2022-03-14 15:51:51.000000",19795,Sample.Periodic,,Energy.Active.Import.Register,,Wh,
1730,,"2022-03-14 15:51:51.000000","0",Sample.Periodic,,Power.Active.Import,,W,
1730,,"2022-03-14 15:51:51.000000","0",Sample.Periodic,,Current.Import,,A,
1730,,"2022-03-14 15:51:51.000000",237,Sample.Periodic,,Voltage,,V,
1730,,"2022-03-14 15:56:51.000000",19795,Sample.Periodic,,Energy.Active.Import.Register,,Wh,
1730,,"2022-03-14 15:56:51.000000","0",Sample.Periodic,,Power.Active.Import,,W,
1730,,"2022-03-14 15:56:51.000000","0",Sample.Periodic,,Current.Import,,A,
1730,,"2022-03-14 15:56:51.000000",237,Sample.Periodic,,Voltage,,V,
1730,,"2022-03-14 16:01:51.000000",19797,Sample.Periodic,,Energy.Active.Import.Register,,Wh,
1730,,"2022-03-14 16:01:51.000000","0",Sample.Periodic,,Power.Active.Import,,W,
